InfoCard Number,Investigation Title,Event,Laboratory,InfoCard Creator,InfoCard Create Date,InfoCard Step Due Date,Product,Lot Number,InfoCard Step Name,Review Token,System Marker
OOS260813,Analytical Verification Review,Out of Specification,Drug Product Stability,user90,8/13/2025 10:50:27 AM,8/14/2026 12:00:00 AM,Product Titan,B30965,Quality Assessment,RT-6449,SM-24
OOS260120,Stability Trend Assessment,Out of Trend,Micro,user95,1/20/2026 4:50:08 PM,7/15/2026 12:00:00 AM,,,Investigation Review,RT-7721,SM-85
OOS260305,Specification Evaluation,Out of Specification,Drug Product Stability,user40,3/5/2026 6:03:45 PM,7/26/2026 3:37:54 PM,Product Alpha,I46863,Final Evaluation,RT-3084,SM-71
OOS260305,Specification Evaluation,Out of Specification,Drug Product Stability,user39,3/5/2026 6:44:14 PM,7/26/2026 4:10:57 PM,Product Orion,C33995,Quality Assessment,RT-3407,SM-58
OOS260409,Sample Integrity Assessment,Out of Specification,Drug Substance Stability,user95,4/9/2026 12:13:37 PM,8/28/2026 12:00:00 AM,Product Nova,C38175,Technical Review,RT-9546,SM-93
OOS260415,Sample Integrity Assessment,Out of Specification,Drug Product Stability,user99,4/15/2026 1:51:22 PM,8/31/2026 12:00:00 AM,Product Alpha,C84094,Closure Approval,RT-6351,SM-94
OOS260427,Impurity Investigation,Out of Trend,Drug Substance Stability,user71,4/27/2026 3:48:42 PM,8/28/2026 12:00:00 AM,Product Nova,R75521,Investigation Review,RT-2207,SM-42
OOS260514,Stability Trend Assessment,Out of Specification,Drug Product Stability,user11,5/14/2026 11:57:20 AM,8/2/2026 3:11:16 PM,,,Final Evaluation,RT-5941,SM-95
OOS260601,Stability Trend Assessment,Out of Specification,Drug Substance Stability,user92,6/1/2026 5:18:53 PM,8/31/2026 12:00:00 AM,Product Zenith,C98629,Closure Approval,RT-8381,SM-80
OOS260624,Analytical Verification Review,Out of Specification,Drug Product Stability,user66,6/24/2026 3:22:39 PM,7/21/2026 3:22:39 PM,Product Nova,M93734,Data Verification,RT-5764,SM-90
OOS260702,Stability Trend Assessment,Out of Specification,Micro,user74,7/2/2026 2:23:52 PM,8/21/2026 11:28:25 AM,,,Closure Approval,RT-3563,SM-97
OOS260708,Sample Integrity Assessment,Out of Specification,Drug Substance Stability,user74,7/8/2026 4:55:22 PM,9/4/2026 12:00:00 AM,Product Nova,F46518,Final Evaluation,RT-3094,SM-50
OOS260805,Specification Evaluation,Out of Specification,Drug Substance Stability,user24,8/5/2026 3:15:17 PM,9/1/2026 3:15:17 PM,Product Orion,F29366,Data Verification,RT-5506,SM-40
OOS260813,Stability Trend Assessment,Out of Specification,Finished Drug Product,user73,8/13/2026 12:41:26 PM,9/9/2026 12:41:26 PM,Product Alpha,C87857,Quality Assessment,RT-7083,SM-66
